Bin start,Bin end,Number of unique MAC addresses
1677679200.281212,1677679380.281212,47
1677679380.281212,1677679387.5954914,0
1677679387.5954914,1677679567.5954914,31
1677679567.5954914,1677679571.3929803,0
1677679571.3929803,1677679751.3929803,25
1677679751.3929803,1677679753.1196442,0
1677679753.1196442,1677679933.1196442,75
1677679933.1196442,1677679933.5143085,0
1677679933.5143085,1677680113.5143085,89
1677680113.5143085,1677680124.5635183,0
1677680124.5635183,1677680304.5635183,68
1677680304.5635183,1677680313.9441226,0
1677680313.9441226,1677680493.9441226,57
1677680493.9441226,1677680495.4417193,0
1677680495.4417193,1677680675.4417193,32
1677680675.4417193,1677680678.2427654,0
1677680678.2427654,1677680858.2427654,21
1677680858.2427654,1677680868.9254134,0
1677680868.9254134,1677681048.9254134,33
1677681048.9254134,1677681055.7013302,0
1677681055.7013302,1677681235.7013302,70
1677681235.7013302,1677681237.0868535,0
1677681237.0868535,1677681417.0868535,67
1677681417.0868535,1677681423.2608593,0
1677681423.2608593,1677681603.2608593,41
1677681603.2608593,1677681607.2650113,0
1677681607.2650113,1677681787.2650113,74
1677681787.2650113,1677681787.3557293,0
1677681787.3557293,1677681967.3557293,90
1677681967.3557293,1677681967.4049294,0
1677681967.4049294,1677682147.4049294,79
1677682147.4049294,1677682159.8824422,0
1677682159.8824422,1677682339.8824422,98
1677682339.8824422,1677682340.6490533,0
1677682340.6490533,1677682520.6490533,43
1677682520.6490533,1677682537.1922622,0
1677682537.1922622,1677682717.1922622,41
1677682717.1922622,1677682722.9018202,0
1677682722.9018202,1677682902.9018202,83
1677682902.9018202,1677682903.0309534,0
1677682903.0309534,1677683083.0309534,25
1677683083.0309534,1677683113.5189974,0
1677683113.5189974,1677683293.5189974,16
1677683293.5189974,1677683294.1547372,0
1677683294.1547372,1677683474.1547372,39
1677683474.1547372,1677683475.9506552,0
1677683475.9506552,1677683655.9506552,34
1677683655.9506552,1677683659.2830904,0
1677683659.2830904,1677683839.2830904,36
1677683839.2830904,1677683839.6803403,0
1677683839.6803403,1677684019.6803403,73
1677684019.6803403,1677684021.4280853,0
1677684021.4280853,1677684201.4280853,32
1677684201.4280853,1677684213.7343624,0
1677684213.7343624,1677684393.7343624,33
1677684393.7343624,1677684399.0073242,0
1677684399.0073242,1677684579.0073242,29
1677684579.0073242,1677684580.7995045,0
1677684580.7995045,1677684760.7995045,37
1677684760.7995045,1677684763.1425974,0
1677684763.1425974,1677684943.1425974,97
1677684943.1425974,1677684979.1743574,0
1677684979.1743574,1677685159.1743574,35
1677685159.1743574,1677685160.1664093,0
1677685160.1664093,1677685340.1664093,39
1677685340.1664093,1677685340.2218924,0
1677685340.2218924,1677685520.2218924,71
1677685520.2218924,1677685520.8349373,0
1677685520.8349373,1677685700.8349373,36
