Bin start,Bin end,Number of unique MAC addresses
1677595683.3733418,1677595863.3733418,47
1677595863.3733418,1677595866.4892642,0
1677595866.4892642,1677596046.4892642,61
1677596046.4892642,1677596049.5189092,0
1677596049.5189092,1677596229.5189092,87
1677596229.5189092,1677596232.9718788,0
1677596232.9718788,1677596412.9718788,67
1677596412.9718788,1677596413.7380145,0
1677596413.7380145,1677596593.7380145,161
1677596593.7380145,1677596594.0527794,0
1677596594.0527794,1677596774.0527794,139
1677596774.0527794,1677596776.9250822,0
1677596776.9250822,1677596956.9250822,56
1677596956.9250822,1677596957.354207,0
1677596957.354207,1677597137.354207,39
1677597137.354207,1677597141.8935974,0
1677597141.8935974,1677597321.8935974,36
1677597321.8935974,1677597323.6088908,0
1677597323.6088908,1677597503.6088908,73
1677597503.6088908,1677597506.968293,0
1677597506.968293,1677597686.968293,74
1677597686.968293,1677597688.402051,0
1677597688.402051,1677597868.402051,46
1677597868.402051,1677597879.248857,0
1677597879.248857,1677598059.248857,77
1677598059.248857,1677598063.584821,0
1677598063.584821,1677598243.584821,108
1677598243.584821,1677598243.8301804,0
1677598243.8301804,1677598423.8301804,94
1677598423.8301804,1677598424.7313306,0
1677598424.7313306,1677598604.7313306,145
1677598604.7313306,1677598608.1503632,0
1677598608.1503632,1677598788.1503632,45
1677598788.1503632,1677598788.7329454,0
1677598788.7329454,1677598968.7329454,23
1677598968.7329454,1677598968.9578812,0
1677598968.9578812,1677599148.9578812,90
1677599148.9578812,1677599148.9944966,0
1677599148.9944966,1677599328.9944966,47
1677599328.9944966,1677599329.3387556,0
1677599329.3387556,1677599509.3387556,38
1677599509.3387556,1677599514.9348118,0
1677599514.9348118,1677599694.9348118,56
1677599694.9348118,1677599694.9999855,0
1677599694.9999855,1677599874.9999855,68
1677599874.9999855,1677599876.7050343,0
1677599876.7050343,1677600056.7050343,72
1677600056.7050343,1677600056.9460819,0
1677600056.9460819,1677600236.9460819,75
1677600236.9460819,1677600237.2035935,0
1677600237.2035935,1677600417.2035935,54
1677600417.2035935,1677600417.6095417,0
1677600417.6095417,1677600597.6095417,138
1677600597.6095417,1677600598.8591201,0
1677600598.8591201,1677600778.8591201,117
1677600778.8591201,1677600779.6615229,0
1677600779.6615229,1677600959.6615229,109
1677600959.6615229,1677600960.257936,0
1677600960.257936,1677601140.257936,206
1677601140.257936,1677601141.2370033,0
1677601141.2370033,1677601321.2370033,153
1677601321.2370033,1677601321.8754132,0
1677601321.8754132,1677601501.8754132,128
1677601501.8754132,1677601505.18188,0
1677601505.18188,1677601685.18188,81
1677601685.18188,1677601686.3132975,0
1677601686.3132975,1677601866.3132975,68
1677601866.3132975,1677601869.5216255,0
1677601869.5216255,1677602049.5216255,132
1677602049.5216255,1677602050.3770125,0
1677602050.3770125,1677602230.3770125,209
1677602230.3770125,1677602230.410386,0
1677602230.410386,1677602410.410386,107
1677602410.410386,1677602410.8632565,0
1677602410.8632565,1677602590.8632565,148
1677602590.8632565,1677602591.617282,0
1677602591.617282,1677602771.617282,166
1677602771.617282,1677602771.646138,0
1677602771.646138,1677602951.646138,170
1677602951.646138,1677602951.7755034,0
1677602951.7755034,1677603131.7755034,136
1677603131.7755034,1677603132.2235892,0
1677603132.2235892,1677603312.2235892,183
1677603312.2235892,1677603313.5028076,0
1677603313.5028076,1677603493.5028076,92
1677603493.5028076,1677603494.0631082,0
1677603494.0631082,1677603674.0631082,121
1677603674.0631082,1677603674.3589895,0
1677603674.3589895,1677603854.3589895,166
1677603854.3589895,1677603856.421666,0
1677603856.421666,1677604036.421666,124
1677604036.421666,1677604037.2968009,0
1677604037.2968009,1677604217.2968009,69
1677604217.2968009,1677604217.5711982,0
1677604217.5711982,1677604397.5711982,140
1677604397.5711982,1677604398.6334295,0
1677604398.6334295,1677604578.6334295,80
1677604578.6334295,1677604579.374615,0
1677604579.374615,1677604759.374615,62
1677604759.374615,1677604759.6437027,0
1677604759.6437027,1677604939.6437027,70
1677604939.6437027,1677604939.809715,0
1677604939.809715,1677605119.809715,66
1677605119.809715,1677605134.4741132,0
1677605134.4741132,1677605314.4741132,65
1677605314.4741132,1677605318.1655095,0
1677605318.1655095,1677605498.1655095,96
1677605498.1655095,1677605498.8093228,0
1677605498.8093228,1677605678.8093228,91
1677605678.8093228,1677605680.2101548,0
1677605680.2101548,1677605860.2101548,62
1677605860.2101548,1677605862.8963354,0
1677605862.8963354,1677606042.8963354,72
1677606042.8963354,1677606043.4485345,0
1677606043.4485345,1677606223.4485345,44
1677606223.4485345,1677606223.8101456,0
1677606223.8101456,1677606403.8101456,65
1677606403.8101456,1677606404.6225133,0
1677606404.6225133,1677606584.6225133,66
1677606584.6225133,1677606589.5535622,0
1677606589.5535622,1677606769.5535622,62
1677606769.5535622,1677606769.6451242,0
1677606769.6451242,1677606949.6451242,56
1677606949.6451242,1677606953.8548334,0
1677606953.8548334,1677607133.8548334,94
1677607133.8548334,1677607134.0195875,0
1677607134.0195875,1677607314.0195875,67
1677607314.0195875,1677607317.489349,0
1677607317.489349,1677607497.489349,93
1677607497.489349,1677607498.648295,0
1677607498.648295,1677607678.648295,83
1677607678.648295,1677607678.7000344,0
1677607678.7000344,1677607858.7000344,64
1677607858.7000344,1677607859.8254147,0
1677607859.8254147,1677608039.8254147,36
1677608039.8254147,1677608040.2213855,0
1677608040.2213855,1677608220.2213855,30
1677608220.2213855,1677608224.106792,0
1677608224.106792,1677608404.106792,87
1677608404.106792,1677608411.5645745,0
1677608411.5645745,1677608591.5645745,55
1677608591.5645745,1677608599.836709,0
1677608599.836709,1677608779.836709,27
1677608779.836709,1677608796.7202559,0
1677608796.7202559,1677608976.7202559,30
1677608976.7202559,1677608980.3694873,0
1677608980.3694873,1677609160.3694873,47
1677609160.3694873,1677609162.073969,0
1677609162.073969,1677609342.073969,26
1677609342.073969,1677609342.3529503,0
1677609342.3529503,1677609522.3529503,66
1677609522.3529503,1677609524.984714,0
1677609524.984714,1677609704.984714,66
1677609704.984714,1677609706.735135,0
1677609706.735135,1677609886.735135,79
1677609886.735135,1677609891.4775217,0
1677609891.4775217,1677610071.4775217,21
1677610071.4775217,1677610075.331058,0
1677610075.331058,1677610255.331058,25
1677610255.331058,1677610256.747817,0
1677610256.747817,1677610436.747817,25
1677610436.747817,1677610438.8969092,0
1677610438.8969092,1677610618.8969092,61
1677610618.8969092,1677610619.0627146,0
1677610619.0627146,1677610799.0627146,36
1677610799.0627146,1677610802.017863,0
1677610802.017863,1677610982.017863,50
1677610982.017863,1677610982.3938923,0
1677610982.3938923,1677611162.3938923,41
1677611162.3938923,1677611168.5554898,0
1677611168.5554898,1677611348.5554898,34
1677611348.5554898,1677611355.0921123,0
1677611355.0921123,1677611535.0921123,33
1677611535.0921123,1677611539.1547985,0
1677611539.1547985,1677611719.1547985,26
1677611719.1547985,1677611721.1759315,0
1677611721.1759315,1677611901.1759315,35
1677611901.1759315,1677611904.5734665,0
1677611904.5734665,1677612084.5734665,49
1677612084.5734665,1677612085.227679,0
1677612085.227679,1677612265.227679,27
