Bin start,Bin end,Number of unique MAC addresses
1677512782.3426118,1677512962.3426118,59
1677512962.3426118,1677512964.3741736,0
1677512964.3741736,1677513144.3741736,30
1677513144.3741736,1677513146.079476,0
1677513146.079476,1677513326.079476,34
1677513326.079476,1677513326.1090038,0
1677513326.1090038,1677513506.1090038,113
1677513506.1090038,1677513511.8038826,0
1677513511.8038826,1677513691.8038826,84
1677513691.8038826,1677513698.560988,0
1677513698.560988,1677513878.560988,55
1677513878.560988,1677513880.1218462,0
1677513880.1218462,1677514060.1218462,36
1677514060.1218462,1677514064.6945503,0
1677514064.6945503,1677514244.6945503,39
1677514244.6945503,1677514247.230549,0
1677514247.230549,1677514427.230549,56
1677514427.230549,1677514428.0540617,0
1677514428.0540617,1677514608.0540617,39
1677514608.0540617,1677514610.413315,0
1677514610.413315,1677514790.413315,100
1677514790.413315,1677514799.05712,0
1677514799.05712,1677514979.05712,54
1677514979.05712,1677514983.1713004,0
1677514983.1713004,1677515163.1713004,31
1677515163.1713004,1677515163.5306933,0
1677515163.5306933,1677515343.5306933,73
1677515343.5306933,1677515348.6515,0
1677515348.6515,1677515528.6515,79
1677515528.6515,1677515535.6591098,0
1677515535.6591098,1677515715.6591098,139
1677515715.6591098,1677515722.9001346,0
1677515722.9001346,1677515902.9001346,67
1677515902.9001346,1677515908.1081252,0
1677515908.1081252,1677516088.1081252,73
1677516088.1081252,1677516088.1165326,0
1677516088.1165326,1677516268.1165326,105
1677516268.1165326,1677516272.3106797,0
1677516272.3106797,1677516452.3106797,89
1677516452.3106797,1677516453.5388606,0
1677516453.5388606,1677516633.5388606,70
1677516633.5388606,1677516637.6541348,0
1677516637.6541348,1677516817.6541348,85
1677516817.6541348,1677516823.0536463,0
1677516823.0536463,1677517003.0536463,48
1677517003.0536463,1677517007.457591,0
1677517007.457591,1677517187.457591,44
1677517187.457591,1677517194.261283,0
1677517194.261283,1677517374.261283,65
1677517374.261283,1677517379.0957448,0
1677517379.0957448,1677517559.0957448,101
1677517559.0957448,1677517559.810849,0
1677517559.810849,1677517739.810849,80
1677517739.810849,1677517740.920844,0
1677517740.920844,1677517920.920844,43
1677517920.920844,1677517923.0081189,0
1677517923.0081189,1677518103.0081189,41
1677518103.0081189,1677518103.8456175,0
1677518103.8456175,1677518283.8456175,60
1677518283.8456175,1677518342.0884876,0
1677518342.0884876,1677518522.0884876,34
1677518522.0884876,1677518529.1456945,0
1677518529.1456945,1677518709.1456945,57
1677518709.1456945,1677518715.6542077,0
1677518715.6542077,1677518895.6542077,58
1677518895.6542077,1677518897.9835114,0
1677518897.9835114,1677519077.9835114,92
1677519077.9835114,1677519078.640299,0
1677519078.640299,1677519258.640299,62
1677519258.640299,1677519261.6121576,0
1677519261.6121576,1677519441.6121576,52
1677519441.6121576,1677519441.8611042,0
1677519441.8611042,1677519621.8611042,35
1677519621.8611042,1677519627.6533413,0
1677519627.6533413,1677519807.6533413,30
1677519807.6533413,1677519812.8918345,0
1677519812.8918345,1677519992.8918345,21
1677519992.8918345,1677519993.9520905,0
1677519993.9520905,1677520173.9520905,51
1677520173.9520905,1677520174.7485454,0
1677520174.7485454,1677520354.7485454,43
1677520354.7485454,1677520361.5850596,0
1677520361.5850596,1677520541.5850596,23
1677520541.5850596,1677520553.090651,0
1677520553.090651,1677520733.090651,26
1677520733.090651,1677520736.8565934,0
1677520736.8565934,1677520916.8565934,40
1677520916.8565934,1677520916.8911486,0
1677520916.8911486,1677521096.8911486,52
1677521096.8911486,1677521097.3404424,0
1677521097.3404424,1677521277.3404424,45
1677521277.3404424,1677521277.5188015,0
1677521277.5188015,1677521457.5188015,28
1677521457.5188015,1677521462.6577127,0
1677521462.6577127,1677521642.6577127,48
1677521642.6577127,1677521652.7891035,0
1677521652.7891035,1677521832.7891035,15
1677521832.7891035,1677521836.8293524,0
1677521836.8293524,1677522016.8293524,21
1677522016.8293524,1677522018.8355286,0
1677522018.8355286,1677522198.8355286,19
