MAC,Timestamp,Signal Quality,Channel Frequency
32:fb:23:86:d8:15,1677512782.3426118,77,2412
00:d0:2d:e3:92:c3,1677512783.210438,95,2412
a2:13:12:4f:b6:7c,1677512784.1726105,90,2412
4e:c4:53:d5:a3:5a,1677512787.8296216,72,2437
aa:20:53:75:5f:d3,1677512787.8943806,72,2442
22:44:2d:45:02:d8,1677512787.9195027,54,2442
22:44:2d:45:02:d8,1677512787.9397793,100,2442
d6:d5:9c:9d:7e:38,1677512788.2301729,59,2457
e6:74:c6:fc:04:98,1677512795.9013014,72,2412
48:d6:d5:32:07:c0,1677512800.3564734,86,2412
b8:94:e7:5a:f4:28,1677512802.0460827,100,2412
b8:94:e7:5a:f4:28,1677512802.0461147,100,2412
b8:94:e7:5a:f4:28,1677512802.0474038,100,2412
b8:94:e7:5a:f4:28,1677512802.1039755,54,2412
b8:94:e7:5a:f4:28,1677512802.1040025,100,2412
b8:94:e7:5a:f4:28,1677512802.1053605,54,2412
ba:15:1e:e7:db:d4,1677512805.5542755,54,2437
f2:41:f6:12:a1:60,1677512805.5556905,54,2437
42:3e:e6:04:da:b4,1677512805.6425853,100,2442
c2:21:50:59:9e:bd,1677512805.645136,100,2442
a6:c3:91:e8:02:d0,1677512805.6894715,100,2442
ba:15:1e:e7:db:d4,1677512805.9251351,100,2452
f2:41:f6:12:a1:60,1677512805.9265962,100,2452
12:a5:03:9c:12:78,1677512813.489479,72,2412
12:a5:03:9c:12:78,1677512813.5096085,68,2412
56:9a:dc:c6:c0:91,1677512814.0044863,54,2422
7a:ba:4e:f3:b1:f0,1677512820.754638,59,2412
aa:53:d6:a2:d7:4b,1677512825.2555492,15,5500
fa:f5:84:24:24:6b,1677512829.2696483,77,2412
fa:f5:84:24:24:6b,1677512829.28713,86,2412
b8:94:e7:5a:f4:28,1677512838.3503182,100,2412
b8:94:e7:5a:f4:28,1677512838.3503454,100,2412
b8:94:e7:5a:f4:28,1677512838.3517475,100,2412
c4:03:a8:26:3c:03,1677512841.6262622,12,2462
00:d0:2d:e3:92:c3,1677512841.7919207,81,2467
00:d0:2d:e3:92:c3,1677512841.8352025,86,2472
00:d0:2d:e3:92:c3,1677512841.8555284,81,2472
b8:94:e7:5a:f4:28,1677512845.1270018,77,2412
b8:94:e7:5a:f4:28,1677512845.1270297,72,2412
b8:94:e7:5a:f4:28,1677512845.185137,72,2412
96:10:af:50:20:c4,1677512847.1970992,63,2412
f2:62:81:1b:4d:9e,1677512848.2219944,72,2412
9a:7c:2a:db:47:f9,1677512850.3384645,54,2457
9a:7c:2a:db:47:f9,1677512850.3577533,59,2457
86:e6:64:da:11:43,1677512851.5917032,18,5300
86:e6:64:da:11:43,1677512851.7672596,15,5500
7e:ac:fd:b7:a5:32,1677512854.786277,77,2412
7e:ac:fd:b7:a5:32,1677512854.8052642,72,2412
76:5e:d9:5a:b3:83,1677512857.4811165,68,2412
76:5e:d9:5a:b3:83,1677512857.501571,59,2412
fe:0e:95:f3:49:1e,1677512859.3644812,100,2462
76:d5:02:4e:01:e0,1677512862.0658057,77,2412
76:d5:02:4e:01:e0,1677512862.1255443,77,2412
