MAC,Timestamp,Signal Quality,Channel Frequency
54:14:f3:41:6c:c0,1677759346.8944716,77,2412
c6:10:8c:c3:5b:0e,1677759349.2092836,86,2412
46:01:3f:2a:ef:06,1677759349.3429277,77,2412
46:01:3f:2a:ef:06,1677759349.362921,72,2412
46:01:3f:2a:ef:06,1677759349.385611,72,2412
56:34:d7:02:86:68,1677759349.5771534,86,2412
b2:93:94:7f:7d:d7,1677759351.6934245,77,2417
82:92:90:1f:32:62,1677759351.8045635,86,2422
ca:5e:4f:9c:f4:8e,1677759351.994652,100,2427
00:d0:2d:e3:92:c3,1677759352.958945,86,2467
00:d0:2d:e3:92:c3,1677759352.9890745,81,2472
00:d0:2d:e3:92:c3,1677759353.0100875,86,2472
f4:ce:23:8c:f3:34,1677759355.2622175,15,5700
b8:94:e7:5a:f4:28,1677759357.5114083,100,2412
b8:94:e7:5a:f4:28,1677759357.5114396,100,2412
b8:94:e7:5a:f4:28,1677759357.5127475,100,2412
b8:94:e7:5a:f4:28,1677759358.832682,100,2412
b8:94:e7:5a:f4:28,1677759358.8327138,100,2412
b8:94:e7:5a:f4:28,1677759358.8340478,59,2412
b8:94:e7:5a:f4:28,1677759358.834075,100,2412
b8:94:e7:5a:f4:28,1677759358.835544,100,2412
b8:94:e7:5a:f4:28,1677759358.83557,100,2412
f4:ce:23:8c:f3:34,1677759360.9995615,81,2432
f4:ce:23:8c:f3:34,1677759361.0160115,100,2437
56:c9:11:e0:f0:e7,1677759362.00521,15,5180
56:c9:11:e0:f0:e7,1677759362.100318,27,5200
38:00:25:a3:ba:15,1677759366.3326755,77,2412
38:00:25:a3:ba:15,1677759366.753758,77,2412
00:d0:2d:e3:92:c3,1677759370.8162906,90,2472
00:d0:2d:e3:92:c3,1677759370.8377557,95,2472
f4:ce:23:8c:f3:34,1677759372.4804811,12,5600
0e:06:50:1c:46:a7,1677759377.186244,63,2412
0e:06:50:1c:46:a7,1677759377.2073207,72,2412
fa:67:2e:37:1b:20,1677759380.3996942,45,5280
fa:67:2e:37:1b:20,1677759380.487067,45,5300
fa:67:2e:37:1b:20,1677759380.5274332,51,5320
fa:67:2e:37:1b:20,1677759380.6917183,45,5500
fa:67:2e:37:1b:20,1677759380.7319553,42,5500
fa:67:2e:37:1b:20,1677759380.7903082,51,5520
fa:67:2e:37:1b:20,1677759380.8315244,57,5520
fa:67:2e:37:1b:20,1677759381.0394707,42,5560
fa:67:2e:37:1b:20,1677759381.122718,48,5580
fa:67:2e:37:1b:20,1677759381.1629283,54,5580
fa:67:2e:37:1b:20,1677759381.3788846,42,5620
36:89:7d:0a:89:16,1677759386.8680537,72,2412
c2:b8:ce:44:82:ab,1677759401.7811658,77,2412
ba:94:e7:88:83:82,1677759403.3253372,86,2412
ba:94:e7:88:83:82,1677759403.3253682,72,2412
ba:94:e7:88:83:82,1677759403.3267121,72,2412
d2:f0:e8:51:51:dd,1677759413.2200234,95,2412
00:d0:2d:e3:92:c3,1677759420.3802426,81,2412
00:d0:2d:e3:92:c3,1677759428.422329,81,2412
5a:1b:d0:da:43:68,1677759431.2324245,86,2412
00:d0:2d:e3:92:c3,1677759436.5001075,86,2412
7a:f0:48:68:cc:cf,1677759454.8698595,81,2412
be:50:37:d8:a7:93,1677759457.1081192,81,2412
be:50:37:d8:a7:93,1677759457.108146,81,2412
56:05:5b:4a:b1:e7,1677759471.820565,77,2412
56:05:5b:4a:b1:e7,1677759471.862857,72,2412
56:05:5b:4a:b1:e7,1677759471.8830543,77,2412
56:05:5b:4a:b1:e7,1677759471.9056191,72,2412
96:5c:d8:84:74:70,1677759473.3517833,68,2412
d2:f5:d3:cb:cf:2f,1677759473.4502761,68,2412
d2:f5:d3:cb:cf:2f,1677759473.5028982,63,2412
aa:55:83:37:8b:c1,1677759479.5436556,81,2412
ba:17:0b:47:2c:c5,1677759482.818925,81,2412
ba:17:0b:47:2c:c5,1677759482.831574,86,2412
ea:67:da:46:59:27,1677759485.345559,68,2442
6e:bd:c0:d4:23:e3,1677759487.596432,51,5580
56:f0:e6:91:a7:cc,1677759493.469809,81,2412
56:f0:e6:91:a7:cc,1677759493.4963462,81,2412
aa:9d:a4:08:0e:7d,1677759499.3418024,77,2412
92:1d:0b:d7:8e:58,1677759503.0193603,81,2442
e2:40:24:98:0c:57,1677759503.3024743,77,2452
22:df:a3:ba:4e:87,1677759503.6276402,72,2467
de:11:39:24:05:dd,1677759509.3844442,77,2412
de:11:39:24:05:dd,1677759509.4067392,68,2412
de:11:39:24:05:dd,1677759509.4334943,77,2412
90:f1:57:d4:68:42,1677759509.5713973,81,2412
3e:d4:6a:a4:11:6c,1677759517.7973614,72,2412
00:d0:2d:e3:92:c3,1677759520.7061265,95,2437
00:d0:2d:e3:92:c3,1677759538.5561423,90,2442
00:d0:2d:e3:92:c3,1677759538.6176083,100,2447
90:f1:57:92:01:7f,1677759545.8009644,86,2412
de:3e:c9:2b:36:c6,1677759551.1679194,81,2412
de:3e:c9:2b:36:c6,1677759551.1936214,68,2412
de:3e:c9:2b:36:c6,1677759551.1951344,72,2412
de:3e:c9:2b:36:c6,1677759551.1966376,77,2412
de:3e:c9:2b:36:c6,1677759551.2020605,72,2412
de:3e:c9:2b:36:c6,1677759551.2052305,72,2412
de:3e:c9:2b:36:c6,1677759551.2088623,68,2412
de:3e:c9:2b:36:c6,1677759551.2144516,72,2412
de:3e:c9:2b:36:c6,1677759551.2161262,81,2412
de:3e:c9:2b:36:c6,1677759551.2226863,86,2412
de:3e:c9:2b:36:c6,1677759551.2242606,86,2412
ea:d3:8e:92:c6:54,1677759554.0233874,72,2412
ea:d3:8e:92:c6:54,1677759554.0554636,95,2412
7e:1c:54:1a:71:ce,1677759560.2352433,86,2412
00:d0:2d:e3:92:c3,1677759562.4821174,81,2412
00:d0:2d:e3:92:c3,1677759562.5066075,81,2412
52:54:ea:7d:81:7b,1677759577.3714054,86,2412
3a:d8:a5:94:0b:21,1677759580.7738454,95,2412
4a:38:e2:3b:a1:b3,1677759581.6294155,68,2412
4a:38:e2:3b:a1:b3,1677759581.6719503,63,2412
4a:38:e2:3b:a1:b3,1677759581.7148473,72,2412
be:27:bb:c0:35:ea,1677759587.3406854,77,2412
be:27:bb:c0:35:ea,1677759587.3606586,72,2412
00:d0:2d:e3:92:c3,1677759588.3622544,81,2412
4e:3a:90:6b:ac:08,1677759595.2938075,77,2412
90:f1:57:d4:68:42,1677759599.5787623,81,2412
90:f1:57:d4:68:42,1677759614.5761945,86,2412
90:f1:57:d4:68:42,1677759614.5762374,81,2412
90:f1:57:d4:68:42,1677759614.6412745,77,2412
b2:3c:af:61:52:44,1677759621.7800314,77,2412
00:d0:2d:e3:92:c3,1677759622.3144836,100,2412
16:b1:59:67:e8:f8,1677759627.2150564,77,2437
06:7a:f0:95:02:49,1677759630.7548285,86,2412
e6:af:65:b8:b9:f8,1677759631.7939444,72,2412
ba:77:b8:22:e8:6e,1677759637.7438145,15,5300
e2:4a:92:de:8e:fb,1677759638.0311635,27,5500
26:a0:d8:ce:6c:e0,1677759642.1394784,86,2412
90:f1:57:d4:68:42,1677759644.5575883,86,2422
9e:03:f4:d7:84:03,1677759648.5425875,72,2412
9e:03:f4:d7:84:03,1677759648.5515745,72,2412
9e:03:f4:d7:84:03,1677759648.5516036,72,2412
9e:03:f4:d7:84:03,1677759648.5554595,68,2412
9e:03:f4:d7:84:03,1677759648.5802565,72,2412
9e:03:f4:d7:84:03,1677759648.5825694,77,2412
9e:03:f4:d7:84:03,1677759648.5905685,72,2412
9e:03:f4:d7:84:03,1677759648.6593823,77,2412
9e:03:f4:d7:84:03,1677759648.7003496,77,2412
c6:ac:0c:c1:2a:7e,1677759657.4908404,86,2412
ba:01:01:3c:57:b4,1677759659.2824504,77,2412
d2:51:b9:db:88:34,1677759661.1777284,77,2412
d6:70:82:80:04:e4,1677759662.6797276,95,2437
a6:27:2c:75:19:81,1677759662.8528004,86,2442
a6:27:2c:75:19:81,1677759662.9091733,81,2447
5a:30:f8:d0:bb:84,1677759662.9675193,81,2447
ba:80:0a:8f:58:92,1677759663.0878556,81,2452
4a:a6:c3:46:77:76,1677759663.9623144,12,5240
4a:a6:c3:46:77:76,1677759664.0174065,21,5240
16:bd:4f:38:5a:c7,1677759664.5592985,12,5500
06:64:35:d3:52:b4,1677759669.1547325,72,2412
56:52:ee:e9:eb:8b,1677759670.4901905,77,2412
72:00:df:c4:73:8d,1677759670.7604473,81,2412
56:05:5b:4a:b1:e7,1677759671.5916505,100,2437
56:05:5b:4a:b1:e7,1677759671.7167144,77,2442
56:05:5b:4a:b1:e7,1677759671.7596354,77,2447
02:b5:a9:4d:bd:43,1677759671.9863625,72,2457
00:d0:2d:e3:92:c3,1677759680.8478293,81,2457
c6:0c:24:1a:6f:2a,1677759682.3717606,24,5500
c6:0c:24:1a:6f:2a,1677759682.3919625,12,5500
c6:0c:24:1a:6f:2a,1677759682.5925505,18,5540
c6:0c:24:1a:6f:2a,1677759682.6126282,18,5540
c6:0c:24:1a:6f:2a,1677759682.6327226,21,5560
c6:0c:24:1a:6f:2a,1677759683.0618856,18,5620
c6:0c:24:1a:6f:2a,1677759683.0820825,12,5620
c6:0c:24:1a:6f:2a,1677759683.1021924,15,5620
c6:0c:24:1a:6f:2a,1677759683.4604154,30,5680
4e:78:30:fa:7a:66,1677759686.4378893,77,2412
00:d0:2d:e3:92:c3,1677759688.5045123,81,2412
ea:b4:44:64:fb:0b,1677759692.8752174,86,2412
be:d4:2c:63:d1:29,1677759693.4391084,77,2412
be:d4:2c:63:d1:29,1677759693.4591672,77,2412
5a:a5:ba:d3:40:74,1677759695.5028572,81,2412
c6:0c:24:1a:6f:2a,1677759698.3951025,77,2447
c6:0c:24:1a:6f:2a,1677759698.5365086,81,2452
c6:0c:24:1a:6f:2a,1677759698.5774596,86,2452
c6:0c:24:1a:6f:2a,1677759698.6579514,81,2457
d2:68:f4:f4:0b:f5,1677759701.5746024,86,2412
62:c2:f1:78:ff:12,1677759701.8555634,59,2412
6c:c7:ec:bb:17:05,1677759703.6002164,81,2412
90:f1:57:d4:68:42,1677759704.5837274,86,2412
90:f1:57:d4:68:42,1677759704.5837605,81,2412
90:f1:57:d4:68:42,1677759704.6482296,81,2412
c2:e5:d4:83:ca:f5,1677759705.4463315,68,2412
ca:5f:41:3d:3e:ad,1677759705.5059934,59,2412
ca:5f:41:3d:3e:ad,1677759705.5282044,59,2412
00:d0:2d:e3:92:c3,1677759706.3011465,81,2412
00:d0:2d:e3:92:c3,1677759706.3205426,90,2412
aa:01:66:75:e4:da,1677759707.6772203,81,2462
c2:af:34:93:0c:a9,1677759710.6584213,68,2412
c2:af:34:93:0c:a9,1677759710.6600013,77,2412
da:a1:19:da:37:e2,1677759710.7044594,100,2412
da:a1:19:da:37:e2,1677759710.7244995,100,2412
0e:3d:cc:57:3d:31,1677759711.2616916,72,2412
0e:3d:cc:57:3d:31,1677759711.3369095,77,2412
2a:99:f8:18:21:22,1677759713.3757985,81,2412
2a:99:f8:18:21:22,1677759713.4456143,95,2412
c2:92:d5:9d:03:7c,1677759714.0349343,72,2412
82:51:ec:88:00:af,1677759714.1716154,68,2412
82:51:ec:88:00:af,1677759714.2193115,63,2412
9e:7b:ee:91:53:3b,1677759715.1685386,81,2412
9a:ff:57:10:c9:ec,1677759715.1725614,81,2412
9e:7b:ee:91:53:3b,1677759715.1894994,81,2412
9a:ff:57:10:c9:ec,1677759715.1907785,77,2412
46:9e:1e:27:78:47,1677759715.4984245,72,2422
46:9e:1e:27:78:47,1677759715.5536134,72,2422
c6:90:ac:5d:c7:ee,1677759715.7329986,68,2432
c6:90:ac:5d:c7:ee,1677759715.7937484,72,2432
a6:81:72:6f:99:bf,1677759716.2140214,77,2452
42:07:b1:46:4a:a3,1677759716.4306426,63,2457
d6:db:46:74:4d:e3,1677759716.5621154,72,2462
d6:db:46:74:4d:e3,1677759716.6006844,68,2467
1e:ca:89:8f:a9:df,1677759716.6619093,68,2467
32:91:99:1c:16:f8,1677759719.3028305,68,2412
0e:35:61:a1:da:6c,1677759720.7927306,81,2412
0e:35:61:a1:da:6c,1677759720.8148725,86,2412
12:a7:01:2f:80:44,1677759723.6691124,59,2412
f2:55:10:d8:dc:c2,1677759723.8870425,77,2412
c6:0c:24:1a:6f:2a,1677759727.9863875,72,2412
c6:0c:24:1a:6f:2a,1677759728.0074506,72,2412
c6:0c:24:1a:6f:2a,1677759728.0274973,72,2412
9a:a2:a6:71:8c:0b,1677759734.3549783,77,2467
da:88:ce:c8:e4:90,1677759737.5112333,77,2412
da:88:ce:c8:e4:90,1677759737.5749846,72,2412
c2:fc:b2:7e:bf:bd,1677759742.2319655,100,2422
de:cc:a6:e5:67:c9,1677759742.2984314,86,2427
4e:17:ff:f0:e1:dd,1677759742.3447275,72,2427
66:ed:a1:9c:63:51,1677759752.9055095,15,5260
72:6e:73:28:69:bd,1677759761.0650375,100,2467
72:6e:73:28:69:bd,1677759761.1093962,100,2472
00:d0:2d:e3:92:c3,1677759764.4477494,95,2412
90:f1:57:d4:68:42,1677759764.5764205,77,2412
90:f1:57:d4:68:42,1677759764.5919986,77,2412
90:f1:57:d4:68:42,1677759764.6413643,77,2412
00:d0:2d:e3:92:c3,1677759790.3016653,86,2412
66:6e:0a:ca:79:e4,1677759794.0536034,100,2412
90:f1:57:d4:68:42,1677759794.5814073,81,2412
90:f1:57:d4:68:42,1677759794.5814393,81,2412
d6:87:08:1f:d1:0f,1677759806.1256926,21,5260
d6:87:08:1f:d1:0f,1677759806.1460044,15,5260
6a:01:4b:48:c6:ab,1677759806.3167143,27,5300
90:f1:57:d4:68:42,1677759809.5837455,81,2412
90:f1:57:d4:68:42,1677759809.6488554,81,2412
66:0d:25:b6:d6:22,1677759810.6646283,72,2412
fe:2c:fc:b0:0d:3f,1677759836.1715045,86,2412
2a:c8:19:c3:9b:b4,1677759836.2831705,77,2412
2a:c8:19:c3:9b:b4,1677759836.3113456,72,2412
2a:c8:19:c3:9b:b4,1677759836.3388054,72,2412
90:f1:57:d4:68:42,1677759839.6488454,86,2417
00:d0:2d:e3:92:c3,1677759840.8198655,95,2462
fa:f5:3a:bb:ab:bb,1677759847.1888964,68,2412
fa:f5:3a:bb:ab:bb,1677759847.2184255,77,2412
46:37:a5:61:1b:2a,1677759849.0965784,86,2437
52:e3:fb:c0:c2:6e,1677759849.2634974,68,2447
7a:99:f4:26:34:5d,1677759849.9047966,86,2472
90:f1:57:d4:68:42,1677759854.5807824,77,2412
9a:a7:0d:01:30:7d,1677759870.0240984,81,2412
5a:2d:7e:e9:55:b4,1677759872.7941105,86,2412
7a:3e:89:7a:fe:e5,1677759881.6368275,100,2412
82:f7:90:32:8b:a0,1677759881.7066903,100,2412
82:f7:90:32:8b:a0,1677759881.7354484,100,2412
00:d0:2d:e3:92:c3,1677759882.3668194,81,2412
00:d0:2d:e3:92:c3,1677759882.3866253,81,2412
fe:df:ab:b8:97:6a,1677759884.8640664,81,2452
90:f1:57:d4:68:42,1677759885.0905395,81,2462
90:f1:57:d4:68:42,1677759885.1564493,68,2462
00:d0:2d:e3:92:c3,1677759890.4284682,81,2412
82:68:d6:4c:c1:64,1677759898.0934556,59,2412
02:00:00:00:00:00,1677759899.9450665,77,2412
02:00:00:00:00:00,1677759900.0171244,77,2412
02:00:00:00:00:00,1677759900.0894885,72,2412
72:e5:f4:58:c1:6b,1677759906.4336085,100,2412
12:84:1f:d3:77:e9,1677759906.5119746,100,2412
12:84:1f:d3:77:e9,1677759906.5308356,100,2412
4a:78:dc:a7:ef:a9,1677759909.4833293,100,2412
4a:78:dc:a7:ef:a9,1677759909.5376313,100,2412
0e:aa:cb:4b:92:59,1677759909.9797475,100,2412
0e:aa:cb:4b:92:59,1677759910.0031133,59,2412
86:fb:ea:41:b6:b2,1677759910.2900903,100,2412
86:fb:ea:41:b6:b2,1677759910.3544765,100,2412
fe:2f:1f:82:36:53,1677759917.9416533,77,2412
fe:2f:1f:82:36:53,1677759917.9797685,81,2412
ee:76:60:66:f7:d3,1677759920.5052004,86,2457
9a:d9:a2:d2:04:f9,1677759920.6297624,86,2462
12:e4:ea:52:d5:e6,1677759920.6983976,81,2462
52:a4:bf:fb:dc:c9,1677759923.3092325,86,2412
1a:9a:af:3d:72:54,1677759924.3313074,100,2412
16:89:43:48:b0:08,1677759924.4430385,100,2412
16:89:43:48:b0:08,1677759924.4641964,100,2412
86:11:29:d7:1e:59,1677759926.9865866,77,2412
3e:f9:d7:2c:74:c0,1677759932.3119354,100,2412
3e:f9:d7:2c:74:c0,1677759932.3341496,100,2412
5e:33:0e:b1:9e:06,1677759933.9108253,81,2412
ae:80:7f:d6:49:8f,1677759934.8431094,81,2412
42:13:9c:8d:1f:53,1677759936.0617173,86,2412
42:13:9c:8d:1f:53,1677759936.0932424,77,2412
6a:98:04:a9:5f:54,1677759939.4890695,36,5300
7a:6e:33:61:d0:a8,1677759939.4891005,33,5300
6a:98:04:a9:5f:54,1677759939.5096626,36,5300
7a:6e:33:61:d0:a8,1677759939.5096984,36,5300
e6:99:2c:bd:f0:28,1677759943.2408826,81,2412
3a:8d:81:cb:18:92,1677759944.4898314,86,2412
3a:8d:81:cb:18:92,1677759944.5078833,77,2412
5e:a5:9b:71:48:ca,1677759947.2138515,100,2462
5e:a5:9b:71:48:ca,1677759947.2429345,100,2462
fa:de:46:74:33:7a,1677759947.2961814,86,2462
fa:de:46:74:33:7a,1677759947.3727264,81,2467
8e:e0:e1:84:d2:88,1677759950.1677964,100,2412
8e:e0:e1:84:d2:88,1677759950.2230544,54,2412
ca:fa:05:c4:8c:32,1677759950.3819423,86,2412
aa:a4:b6:be:86:5b,1677759951.0305912,63,2412
5e:62:e0:32:75:02,1677759960.9696946,72,2412
f2:77:3e:8b:5d:fb,1677759962.0100064,77,2412
4e:78:30:fa:7a:66,1677759963.2252414,81,2412
fe:f6:f9:23:26:11,1677759972.0400145,77,2412
9a:44:1a:05:7f:64,1677759972.4334393,77,2412
9a:44:1a:05:7f:64,1677759972.4551384,81,2412
00:d0:2d:e3:92:c3,1677759983.0183096,86,2472
00:d0:2d:e3:92:c3,1677759983.0380545,86,2472
da:a1:19:01:85:98,1677759986.6195424,77,2412
da:a1:19:6b:10:bf,1677759989.5525427,68,2412
da:a1:19:6b:10:bf,1677759989.5727904,68,2412
da:a1:19:6b:10:bf,1677759989.5777814,63,2412
da:a1:19:6b:10:bf,1677759989.6245515,72,2412
da:a1:19:6b:10:bf,1677759989.6261044,68,2412
da:a1:19:6b:10:bf,1677759989.6493185,68,2412
da:a1:19:6b:10:bf,1677759989.6508052,63,2412
da:a1:19:40:bf:26,1677759997.5307424,72,2412
da:a1:19:40:bf:26,1677759997.5357785,68,2412
da:a1:19:40:bf:26,1677759997.5535574,68,2412
da:a1:19:40:bf:26,1677759997.5664485,63,2412
da:a1:19:45:db:fd,1677760005.5672123,81,2412
3e:b1:3f:b1:80:c0,1677760013.3546515,81,2412
da:a1:19:f3:a7:9d,1677760013.6176465,77,2412
1a:f0:c5:a5:f2:6f,1677760015.4179015,77,2412
72:d5:49:1c:7b:a1,1677760015.5336523,81,2412
e2:29:b7:40:16:06,1677760016.7952573,81,2412
c2:5f:5a:12:f3:af,1677760020.9980135,81,2412
da:a1:19:eb:5b:93,1677760022.2833965,72,2412
da:a1:19:eb:5b:93,1677760022.3048685,68,2412
da:a1:19:eb:5b:93,1677760022.3065984,72,2412
00:d0:2d:e3:92:c3,1677760024.4889896,86,2412
e6:ce:a6:fe:11:cb,1677760027.7160406,60,5220
e6:ce:a6:fe:11:cb,1677760027.7363255,45,5220
da:a1:19:84:59:fa,1677760030.2763827,81,2412
3a:80:ee:3d:15:d1,1677760030.8013365,86,2412
7a:13:36:21:e0:fc,1677760033.6788316,86,2412
ae:20:84:ff:6c:cd,1677760035.8916886,72,2457
ae:20:84:ff:6c:cd,1677760035.9493716,72,2457
be:2f:da:fc:1e:53,1677760039.3362625,72,2412
00:d0:2d:e3:92:c3,1677760042.3257024,86,2412
00:d0:2d:e3:92:c3,1677760050.3689754,86,2412
00:d0:2d:e3:92:c3,1677760050.3866353,86,2412
16:1c:d6:d6:0d:70,1677760051.6949754,77,2412
e2:62:67:72:79:94,1677760052.2773714,77,2412
