MAC,Timestamp,Signal Quality,Channel Frequency
8e:22:da:89:86:ee,1677847024.6530874,63,2412
3e:16:62:64:b3:c5,1677847044.0903878,68,2412
82:c8:44:32:63:d6,1677847045.5909686,100,2462
42:ed:e7:76:c4:46,1677847045.6594915,100,2462
36:56:a5:c0:0a:f6,1677847048.879674,77,2412
12:b4:be:fd:7c:25,1677847049.2661104,68,2412
12:b4:be:fd:7c:25,1677847049.3213456,72,2412
02:5d:e9:31:4c:7b,1677847049.515872,68,2412
02:5d:e9:31:4c:7b,1677847049.53091,77,2412
02:5d:e9:31:4c:7b,1677847049.546928,68,2412
1e:fa:e5:95:1e:47,1677847050.4752262,86,2412
1e:8d:dd:03:cc:bb,1677847052.270036,77,2412
de:80:b8:09:8e:4f,1677847053.4289358,81,2417
f8:0f:f9:52:3a:31,1677847057.2348936,86,2412
f8:0f:f9:52:3a:31,1677847057.2381136,86,2412
f8:0f:f9:52:3a:31,1677847057.2391205,86,2412
b2:c4:85:fd:31:4c,1677847058.755696,100,2412
fa:7f:bd:c6:83:6d,1677847058.9381359,100,2412
fa:7f:bd:c6:83:6d,1677847058.9782364,100,2412
b8:94:e7:5a:f4:28,1677847060.214949,77,2412
d2:43:0f:f5:24:5e,1677847066.1482034,100,2412
02:5d:e9:31:4c:7b,1677847066.258703,77,2412
02:5d:e9:31:4c:7b,1677847069.544514,72,2412
02:5d:e9:31:4c:7b,1677847069.561545,72,2412
02:5d:e9:31:4c:7b,1677847069.6369057,77,2412
36:7f:c9:82:a4:c8,1677847069.9547164,72,2412
d6:86:b3:92:38:cc,1677847070.140877,72,2412
d6:86:b3:92:38:cc,1677847070.160102,68,2412
02:67:7c:94:05:d9,1677847073.1562834,54,5260
02:67:7c:94:05:d9,1677847073.30729,27,5300
1e:f5:c3:e9:18:80,1677847076.1998773,72,2412
7a:3f:34:92:d9:58,1677847077.6437323,100,2412
f6:a3:e4:c0:7a:37,1677847091.1830096,12,5300
66:3e:6b:63:72:3c,1677847097.2374685,72,2412
8e:3c:f2:54:33:ea,1677847098.598493,59,2447
8e:3c:f2:54:33:ea,1677847098.6186998,54,2447
2e:99:07:8a:6b:aa,1677847098.6623888,54,2452
e6:5f:c4:26:2c:53,1677847104.2977145,86,2412
e6:5f:c4:26:2c:53,1677847104.3386273,86,2412
ae:c9:f4:b9:a3:67,1677847104.8786983,59,2412
1a:8c:af:a4:bb:fe,1677847111.1612024,81,2412
1a:8c:af:a4:bb:fe,1677847111.2177236,81,2412
16:40:b5:22:57:84,1677847115.5756238,100,2417
16:40:b5:22:57:84,1677847115.5938418,100,2417
9e:a1:81:3d:5a:e7,1677847115.61649,100,2417
9e:a1:81:3d:5a:e7,1677847115.6366966,100,2417
62:6c:35:90:c8:fd,1677847124.3982775,68,2412
a6:b6:bb:bc:e1:1b,1677847124.4455845,59,2417
2e:f6:5b:04:16:b8,1677847124.4469266,59,2417
2e:f6:5b:04:16:b8,1677847124.4664898,59,2417
ca:bf:1b:d5:13:59,1677847124.5874715,63,2422
22:aa:68:71:32:fa,1677847124.6060796,54,2422
a6:b1:51:33:5a:35,1677847133.5701559,59,2427
a6:b1:51:33:5a:35,1677847133.625444,59,2427
4e:45:78:ae:47:23,1677847137.3771677,72,2412
4e:45:78:ae:47:23,1677847137.4341018,63,2412
48:d6:d5:32:07:c0,1677847138.3963647,81,2412
48:d6:d5:32:07:c0,1677847138.3979378,77,2412
48:d6:d5:32:07:c0,1677847138.3990226,81,2412
48:d6:d5:32:07:c0,1677847138.4003367,81,2412
4e:45:78:ae:47:23,1677847138.5351076,72,2412
ca:f0:2e:5e:cd:24,1677847138.8627458,77,2412
2a:84:fc:76:1a:df,1677847139.7711155,68,2412
4e:ae:d4:76:d9:c2,1677847143.5503016,77,2472
32:40:bf:db:56:15,1677847144.5805573,15,5500
ae:b1:56:fb:28:5a,1677847147.7809703,77,2412
ae:b1:56:fb:28:5a,1677847147.8168974,72,2412
be:ed:e6:43:05:23,1677847154.8189244,72,2412
be:ed:e6:43:05:23,1677847154.8329294,72,2412
be:ed:e6:43:05:23,1677847154.8329704,63,2412
06:d5:f6:01:68:d2,1677847159.9478102,68,2417
06:d5:f6:01:68:d2,1677847160.2746475,77,2432
72:ff:a5:da:68:5c,1677847164.88718,72,2412
2e:0f:b5:56:11:ab,1677847169.0604072,68,2427
7e:c9:d4:33:b1:6f,1677847169.1043723,72,2427
d6:98:31:af:6a:24,1677847169.1848922,63,2432
5c:dd:56:77:31:c2,1677847170.646434,27,5240
6a:5f:a2:2b:0d:36,1677847173.1353643,86,2412
2a:8b:b1:1f:ee:4b,1677847176.8656442,68,2412
5f:dc:8c:94:da:a2,1677847177.4907632,63,2412
5f:dc:8c:94:da:a2,1677847177.501075,63,2412
31:6c:aa:68:24:70,1677847177.7190042,72,2417
16:b9:d0:57:69:f7,1677847178.3551042,68,2442
9c:28:bf:4c:d7:12,1677847178.8082192,81,2462
9c:28:bf:4c:d7:12,1677847178.83452,86,2462
f8:0f:f9:52:3a:31,1677847183.0489893,86,2412
ce:57:de:9b:f0:33,1677847185.9354851,59,2412
86:ed:2e:25:44:75,1677847186.035844,54,2412
b6:3a:4d:c7:3a:e3,1677847191.440905,68,2412
00:d0:2d:e3:92:c3,1677847194.1022131,77,2412
a6:33:b5:ae:23:c4,1677847194.6597292,54,2412
a6:33:b5:ae:23:c4,1677847194.67649,59,2412
c2:a7:0b:91:ee:5b,1677847194.8616662,100,2412
9e:dc:81:83:59:cc,1677847195.264641,54,2412
9e:dc:81:83:59:cc,1677847195.3295152,100,2412
c2:18:29:da:ba:5c,1677847195.830164,100,2432
