MAC,Timestamp,Signal Quality,Channel Frequency
00:d0:2d:e3:92:c3,1677928279.9389677,72,2412
fa:a4:6b:fd:c8:be,1677928281.0986986,77,2412
0c:23:69:5b:87:4c,1677928283.2317967,77,2412
0c:23:69:5b:87:4c,1677928283.2331846,77,2412
b8:94:e7:5a:f4:28,1677928284.4705677,63,2412
b8:94:e7:5a:f4:28,1677928284.4705937,68,2412
b8:94:e7:5a:f4:28,1677928284.4975917,54,2412
b8:94:e7:5a:f4:28,1677928284.4976478,54,2412
b8:94:e7:5a:f4:28,1677928284.5236979,54,2412
b8:94:e7:5a:f4:28,1677928284.5237257,54,2412
b8:94:e7:5a:f4:28,1677928284.8760808,100,2417
b8:94:e7:5a:f4:28,1677928284.8761065,100,2417
b8:94:e7:5a:f4:28,1677928285.3022246,100,2432
b8:94:e7:5a:f4:28,1677928285.3022516,100,2432
b8:94:e7:5a:f4:28,1677928285.3493886,100,2437
b8:94:e7:5a:f4:28,1677928285.3494148,100,2437
b8:94:e7:5a:f4:28,1677928285.7496767,100,2452
b8:94:e7:5a:f4:28,1677928285.7511249,100,2452
b8:94:e7:5a:f4:28,1677928286.1032877,100,2467
b8:94:e7:5a:f4:28,1677928286.1033196,100,2467
b8:94:e7:5a:f4:28,1677928286.151528,100,2467
b8:94:e7:5a:f4:28,1677928286.1515589,100,2467
0c:23:69:5b:87:4c,1677928288.6516585,54,2412
0c:23:69:5b:87:4c,1677928288.7660947,100,2412
48:d6:d5:32:07:c0,1677928289.0453236,77,2412
48:d6:d5:32:07:c0,1677928289.0476055,72,2412
0c:23:69:5b:87:4c,1677928290.7713537,77,2412
0c:23:69:5b:87:4c,1677928290.9957116,72,2412
0c:23:69:5b:87:4c,1677928291.0175507,68,2412
0c:23:69:5b:87:4c,1677928291.0620747,63,2412
0c:23:69:5b:87:4c,1677928291.0633276,63,2412
76:a4:ba:6a:f6:60,1677928291.2462196,77,2412
76:a4:ba:6a:f6:60,1677928291.2462468,81,2412
66:60:7d:09:70:aa,1677928293.4783528,72,2412
00:d0:2d:e3:92:c3,1677928297.7764757,72,2412
52:8b:d0:af:b8:c4,1677928299.7816238,68,2412
52:8b:d0:af:b8:c4,1677928299.8033085,72,2412
7e:a7:71:2d:75:da,1677928300.970838,68,2412
7e:a7:71:2d:75:da,1677928300.992917,72,2412
0c:23:69:5b:87:4c,1677928300.9999835,72,2412
0c:23:69:5b:87:4c,1677928301.003858,72,2412
0c:23:69:5b:87:4c,1677928301.020911,72,2412
0c:23:69:5b:87:4c,1677928301.0227585,72,2412
0c:23:69:5b:87:4c,1677928301.0753303,72,2412
66:4f:9d:b7:f5:9a,1677928307.98924,59,2412
66:4f:9d:b7:f5:9a,1677928308.0233614,59,2412
0c:23:69:5b:87:4c,1677928311.0126913,68,2412
0c:23:69:5b:87:4c,1677928311.0127454,72,2412
0c:23:69:5b:87:4c,1677928311.0336816,68,2412
0c:23:69:5b:87:4c,1677928311.0349412,72,2412
4a:79:58:b8:f9:18,1677928316.371298,68,2412
00:d0:2d:e3:92:c3,1677928348.2981315,77,2467
00:d0:2d:e3:92:c3,1677928348.3513474,77,2472
00:d0:2d:e3:92:c3,1677928348.3708851,77,2472
0c:23:69:5b:87:4c,1677928351.0010486,72,2412
0c:23:69:5b:87:4c,1677928351.0010748,72,2412
0c:23:69:5b:87:4c,1677928351.0247443,68,2412
0c:23:69:5b:87:4c,1677928351.0260975,77,2412
5e:4b:ab:30:77:95,1677928352.9936492,72,2412
0c:23:69:5b:87:4c,1677928353.0611644,72,2412
48:d6:d5:32:07:c0,1677928353.2941356,77,2412
00:d0:2d:e3:92:c3,1677928355.9160273,86,2417
00:d0:2d:e3:92:c3,1677928355.9352942,86,2417
00:d0:2d:e3:92:c3,1677928363.9340189,77,2412
00:d0:2d:e3:92:c3,1677928363.951201,77,2412
0c:23:69:5b:87:4c,1677928371.0554128,72,2412
0c:23:69:5b:87:4c,1677928371.056623,77,2412
20:1f:3b:29:a2:55,1677928374.8708956,95,2467
20:1f:3b:29:a2:55,1677928374.872063,95,2467
00:d0:2d:e3:92:c3,1677928381.747757,77,2412
00:d0:2d:e3:92:c3,1677928381.768402,77,2412
00:d0:2d:e3:92:c3,1677928389.8320487,72,2412
ea:3b:69:2d:04:01,1677928391.8277416,86,2432
ea:3b:69:2d:04:01,1677928391.8738074,77,2437
ea:3b:69:2d:04:01,1677928391.9140475,72,2437
ea:3b:69:2d:04:01,1677928392.245377,72,2452
00:d0:2d:e3:92:c3,1677928397.8720107,77,2412
2e:ec:41:61:ab:78,1677928413.8976607,72,2412
2e:ec:41:61:ab:78,1677928413.9080079,68,2412
48:d6:d5:32:07:c0,1677928417.405508,95,2412
48:d6:d5:32:07:c0,1677928417.412694,77,2412
e6:3a:89:73:d0:78,1677928421.944019,59,2412
e6:3a:89:73:d0:78,1677928421.964246,59,2412
d6:fa:7f:56:eb:54,1677928422.8029892,63,2412
f2:8d:ab:5f:d3:ca,1677928422.933593,59,2412
f2:8d:ab:5f:d3:ca,1677928422.953761,54,2412
00:d0:2d:e3:92:c3,1677928423.7484357,77,2412
00:d0:2d:e3:92:c3,1677928423.768582,81,2412
b2:cb:7c:55:f5:b0,1677928424.7946906,68,2412
00:d0:2d:e3:92:c3,1677928431.835055,77,2412
00:d0:2d:e3:92:c3,1677928439.8954456,77,2412
26:b5:05:2e:bf:e3,1677928454.9937582,12,5180
