MAC,Timestamp,Signal Quality,Channel Frequency
b8:94:e7:5a:f4:28,1677967344.4316635,100,2422
b8:94:e7:5a:f4:28,1677967344.4316893,100,2422
b8:94:e7:5a:f4:28,1677967344.4330323,54,2422
b8:94:e7:5a:f4:28,1677967344.9153883,68,2422
b8:94:e7:5a:f4:28,1677967344.9154184,68,2422
b8:94:e7:5a:f4:28,1677967344.9167993,68,2422
b8:94:e7:5a:f4:28,1677967346.1476583,54,2442
b8:94:e7:5a:f4:28,1677967346.5683653,63,2457
b8:94:e7:5a:f4:28,1677967346.5698092,68,2457
b8:94:e7:5a:f4:28,1677967346.5698364,63,2457
b8:94:e7:5a:f4:28,1677967346.6420884,100,2462
b8:94:e7:5a:f4:28,1677967347.0554163,78,5180
b8:94:e7:5a:f4:28,1677967347.0554485,81,5180
b8:94:e7:5a:f4:28,1677967347.0554714,78,5180
b8:94:e7:5a:f4:28,1677967347.1084623,42,5200
b8:94:e7:5a:f4:28,1677967347.1085114,36,5200
b8:94:e7:5a:f4:28,1677967347.1085343,36,5200
ba:94:e7:e9:69:49,1677967350.8661213,68,2422
ba:94:e7:e9:69:49,1677967350.8661513,72,2422
ba:94:e7:e9:69:49,1677967351.0215573,59,2422
ba:94:e7:e9:69:49,1677967351.0215893,59,2422
ba:94:e7:e9:69:49,1677967351.0228925,54,2422
ba:94:e7:e9:69:49,1677967351.0229254,59,2422
ba:94:e7:e9:69:49,1677967351.0243444,59,2422
ba:94:e7:e9:69:49,1677967351.0243964,59,2422
ba:94:e7:e9:69:49,1677967351.0686984,100,2422
ba:94:e7:e9:69:49,1677967351.0687294,100,2422
ba:94:e7:e9:69:49,1677967351.0700793,100,2422
38:00:25:a3:ba:15,1677967351.7403023,81,2422
38:00:25:a3:ba:15,1677967352.1128783,72,2422
38:00:25:a3:ba:15,1677967352.4774735,77,2422
2e:5b:d6:9c:29:56,1677967400.1872854,77,2472
2e:5b:d6:9c:29:56,1677967400.1873143,77,2472
00:d0:2d:e3:92:c3,1677967416.0976822,100,2422
00:d0:2d:e3:92:c3,1677967416.1159494,86,2422
00:d0:2d:e3:92:c3,1677967416.5741193,77,2412
86:92:67:7e:1f:b2,1677967421.6046333,68,2422
86:92:67:7e:1f:b2,1677967421.6272004,63,2422
86:92:67:7e:1f:b2,1677967421.6484485,68,2422
86:92:67:7e:1f:b2,1677967421.6502783,63,2422
86:92:67:7e:1f:b2,1677967421.6552062,72,2422
86:92:67:7e:1f:b2,1677967421.6629903,68,2422
86:92:67:7e:1f:b2,1677967421.6932013,68,2422
86:92:67:7e:1f:b2,1677967421.6982074,68,2422
86:92:67:7e:1f:b2,1677967421.7031693,77,2422
86:92:67:7e:1f:b2,1677967421.7066863,72,2422
ea:e5:cb:cf:e9:7d,1677967429.9914815,72,2422
ea:e5:cb:cf:e9:7d,1677967429.9986684,72,2422
ea:e5:cb:cf:e9:7d,1677967430.0130284,81,2422
ea:e5:cb:cf:e9:7d,1677967430.0148232,77,2422
62:4c:21:4d:fa:9c,1677967441.6928864,77,2422
62:4c:21:4d:fa:9c,1677967441.6945314,72,2422
62:4c:21:4d:fa:9c,1677967441.7148464,81,2422
62:4c:21:4d:fa:9c,1677967441.7360575,86,2422
62:4c:21:4d:fa:9c,1677967441.7411234,72,2422
62:1a:c2:1d:ac:cf,1677967449.1843634,86,2422
be:24:74:55:ff:c8,1677967466.0021513,81,2422
00:d0:2d:e3:92:c3,1677967466.1906343,95,2422
c4:36:6c:20:b0:59,1677967484.1109302,81,2422
c4:36:6c:20:b0:59,1677967484.1531334,77,2422
c4:36:6c:20:b0:59,1677967484.1955473,86,2422
ce:d3:8a:5f:d7:09,1677967498.1000884,30,5180
1e:96:cd:ff:06:64,1677967498.3611944,42,5220
f2:51:b6:02:0f:4a,1677967498.4148483,33,5240
22:be:cc:c8:b0:47,1677967538.4467874,81,2422
22:be:cc:c8:b0:47,1677967538.4652085,77,2422
00:d0:2d:e3:92:c3,1677967550.2151532,100,2427
ba:7d:96:28:9c:1a,1677967565.6999543,81,2422
ba:7d:96:28:9c:1a,1677967565.7177444,81,2422
00:d0:2d:e3:92:c3,1677967568.0444944,81,2432
00:d0:2d:e3:92:c3,1677967576.0437384,95,2422
00:d0:2d:e3:92:c3,1677967584.1029303,81,2422
00:d0:2d:e3:92:c3,1677967584.1242733,100,2422
96:aa:58:68:6a:94,1677967593.9717612,95,2422
00:d0:2d:e3:92:c3,1677967610.0036023,100,2422
9a:f9:20:14:be:58,1677967618.2143683,86,2422
00:d0:2d:e3:92:c3,1677967626.1116562,95,2422
