MAC,Timestamp,Signal Quality,Channel Frequency
38:00:25:a3:ba:15,1678097886.137927,77,2412
38:00:25:a3:ba:15,1678097886.2131348,63,2412
66:7a:5f:21:62:96,1678097887.9741838,68,2412
38:00:25:a3:ba:15,1678097888.8877544,77,2412
38:00:25:a3:ba:15,1678097889.1681325,77,2412
ba:94:e7:7a:f6:f6,1678097889.172959,100,2412
ba:94:e7:7a:f6:f6,1678097889.172986,100,2412
ba:94:e7:7a:f6:f6,1678097889.174422,100,2412
38:00:25:a3:ba:15,1678097889.2407565,68,2412
38:00:25:a3:ba:15,1678097889.4146998,77,2412
38:00:25:a3:ba:15,1678097889.665426,81,2412
38:00:25:a3:ba:15,1678097889.719581,68,2412
a4:83:e7:82:d3:12,1678097892.8924031,15,5260
6e:fd:ba:ac:ca:1d,1678097894.1700194,15,5620
a4:83:e7:82:d3:12,1678097896.0952835,95,2412
00:d0:2d:e3:92:c3,1678097896.1976643,77,2412
00:d0:2d:e3:92:c3,1678097896.223683,77,2412
9e:85:89:ac:9b:89,1678097897.2162392,59,2412
9e:85:89:ac:9b:89,1678097897.2300367,68,2412
32:46:00:26:e1:01,1678097898.2536724,59,2412
1e:5c:35:d9:b1:f7,1678097899.4477937,63,2412
00:d0:2d:e3:92:c3,1678097904.2822227,77,2412
fa:88:83:5a:30:b5,1678097914.1189754,72,2412
4a:8e:f1:67:d6:f4,1678097916.3906908,77,2412
de:f0:0b:ef:a0:54,1678097916.4882302,68,2412
ba:94:e7:37:d2:b1,1678097921.6326735,59,2412
ba:94:e7:37:d2:b1,1678097921.6327102,59,2412
ba:94:e7:37:d2:b1,1678097921.6340804,59,2412
ba:94:e7:37:d2:b1,1678097921.852016,68,2412
ba:94:e7:37:d2:b1,1678097921.852058,54,2412
ba:94:e7:37:d2:b1,1678097921.853446,54,2412
48:d6:d5:32:07:c0,1678097933.576387,81,2412
48:d6:d5:32:07:c0,1678097933.57755,86,2412
48:d6:d5:32:07:c0,1678097933.578839,72,2412
48:d6:d5:32:07:c0,1678097933.5804973,81,2412
4e:97:1c:b3:0d:10,1678097942.3820763,63,2412
4e:97:1c:b3:0d:10,1678097942.4156678,59,2412
26:9a:fc:25:9e:2e,1678097944.2396348,100,2422
26:9a:fc:25:9e:2e,1678097944.2599401,100,2422
06:81:a1:10:de:ac,1678097945.0188563,63,2452
06:81:a1:10:de:ac,1678097945.0302641,63,2452
c4:03:a8:26:3c:02,1678097945.7796352,12,5200
ae:5b:f7:b0:c1:2a,1678097975.9561794,100,2412
ae:5b:f7:b0:c1:2a,1678097976.0112822,100,2412
ae:5b:f7:b0:c1:2a,1678097976.18589,100,2412
00:d0:2d:e3:92:c3,1678097980.5946405,81,2457
00:d0:2d:e3:92:c3,1678097980.6220195,81,2457
ba:94:e7:a4:25:c8,1678097984.211779,100,2412
ba:94:e7:a4:25:c8,1678097984.21181,100,2412
ba:94:e7:a4:25:c8,1678097984.322327,100,2412
ba:94:e7:a4:25:c8,1678097984.32238,100,2412
ba:94:e7:a4:25:c8,1678097984.3237593,100,2412
ba:94:e7:a4:25:c8,1678097984.431316,77,2412
d6:61:26:14:d7:5d,1678097985.1904674,86,2412
00:d0:2d:e3:92:c3,1678097996.3345144,77,2412
00:d0:2d:e3:92:c3,1678097996.3519185,86,2412
be:4c:9a:9f:eb:4e,1678098001.6057484,72,2412
be:4c:9a:9f:eb:4e,1678098001.6656635,72,2412
be:4c:9a:9f:eb:4e,1678098001.740549,72,2412
be:46:3f:3f:f8:ed,1678098001.841015,72,2412
be:46:3f:3f:f8:ed,1678098001.8612275,77,2412
be:4c:9a:9f:eb:4e,1678098001.9661832,86,2412
00:d0:2d:e3:92:c3,1678098004.4167075,72,2412
5e:89:56:16:b3:b5,1678098010.8038466,77,2412
06:54:78:88:d9:23,1678098014.0469606,86,2412
0e:c9:61:c0:a4:18,1678098019.8277018,72,2412
00:d0:2d:e3:92:c3,1678098022.2300944,95,2412
00:d0:2d:e3:92:c3,1678098030.2921898,72,2412
76:7b:4f:90:f3:d7,1678098031.4603257,72,2412
00:d0:2d:e3:92:c3,1678098038.353786,86,2412
b4:ec:02:94:fa:ed,1678098045.8455071,72,2412
00:d0:2d:e3:92:c3,1678098046.3962529,77,2412
00:d0:2d:e3:92:c3,1678098046.4139092,81,2412
f6:33:58:6d:71:c3,1678098049.6509197,68,2412
de:14:da:4c:e9:6a,1678098050.1105528,72,2412
de:14:da:4c:e9:6a,1678098050.127805,72,2412
6e:a4:c9:ab:6f:ab,1678098054.388687,59,2412
fe:d4:a1:49:47:28,1678098054.4400127,72,2412
6e:a4:c9:ab:6f:ab,1678098054.4691,68,2412
fe:d4:a1:49:47:28,1678098054.4957287,68,2412
6e:a4:c9:ab:6f:ab,1678098054.5716403,68,2412
6e:a4:c9:ab:6f:ab,1678098054.5936308,72,2412
fe:d4:a1:49:47:28,1678098054.666681,72,2412
6e:a4:c9:ab:6f:ab,1678098054.6734586,68,2412
fe:d4:a1:49:47:28,1678098054.7219548,72,2412
00:d0:2d:e3:92:c3,1678098064.2326484,86,2412
d2:59:df:fa:38:37,1678098066.0612156,72,2412
00:d0:2d:e3:92:c3,1678098072.27589,81,2412
86:c2:36:2c:61:0d,1678098072.3070004,77,2412
36:e8:a3:be:76:d9,1678098074.304005,77,2412
