Bin start,Bin end,Number of unique MAC addresses
1677512782.3426118,1677512842.3426118,21
1677512842.3426118,1677512902.3426118,0
1677512845.1270018,1677512905.1270018,31
1677512905.1270018,1677512965.1270018,0
1677512905.2556925,1677512965.2556925,14
1677512965.2556925,1677513025.2556925,0
1677512966.9534261,1677513026.9534261,8
1677513026.9534261,1677513086.9534261,0
1677513035.1864774,1677513095.1864774,5
1677513095.1864774,1677513155.1864774,0
1677513098.627706,1677513158.627706,21
1677513158.627706,1677513218.627706,0
1677513160.0823276,1677513220.0823276,5
1677513220.0823276,1677513280.0823276,0
1677513222.4140735,1677513282.4140735,6
1677513282.4140735,1677513342.4140735,0
1677513293.9369838,1677513353.9369838,36
1677513353.9369838,1677513413.9369838,0
1677513355.82272,1677513415.82272,41
1677513415.82272,1677513475.82272,0
1677513417.2287688,1677513477.2287688,32
1677513477.2287688,1677513537.2287688,0
1677513477.7089288,1677513537.7089288,42
1677513537.7089288,1677513597.7089288,0
1677513539.6326783,1677513599.6326783,17
1677513599.6326783,1677513659.6326783,0
1677513602.5052533,1677513662.5052533,21
1677513662.5052533,1677513722.5052533,0
1677513664.3124964,1677513724.3124964,39
1677513724.3124964,1677513784.3124964,0
1677513725.069026,1677513785.069026,16
1677513785.069026,1677513845.069026,0
1677513789.92244,1677513849.92244,21
1677513849.92244,1677513909.92244,0
1677513849.9389935,1677513909.9389935,17
1677513909.9389935,1677513969.9389935,0
1677513920.52689,1677513980.52689,9
1677513980.52689,1677514040.52689,0
1677513985.385588,1677514045.385588,25
1677514045.385588,1677514105.385588,0
1677514051.299077,1677514111.299077,14
1677514111.299077,1677514171.299077,0
1677514122.586006,1677514182.586006,13
1677514182.586006,1677514242.586006,0
1677514184.790625,1677514244.790625,17
1677514244.790625,1677514304.790625,0
1677514247.230549,1677514307.230549,24
1677514307.230549,1677514367.230549,0
1677514309.9717185,1677514369.9717185,14
1677514369.9717185,1677514429.9717185,0
1677514370.7811368,1677514430.7811368,23
1677514430.7811368,1677514490.7811368,0
1677514430.800507,1677514490.800507,16
1677514490.800507,1677514550.800507,0
1677514497.136252,1677514557.136252,15
1677514557.136252,1677514617.136252,0
1677514557.2306442,1677514617.2306442,21
1677514617.2306442,1677514677.2306442,0
1677514618.4053593,1677514678.4053593,44
1677514678.4053593,1677514738.4053593,0
