MAC,Timestamp,Signal Quality,Channel Frequency
38:78:62:02:63:ea,1677679200.281212,68,2412
38:78:62:02:63:ea,1677679200.652277,72,2412
0e:a1:f5:99:48:c3,1677679211.170458,86,2412
1a:5b:16:06:b8:31,1677679214.0588171,60,5180
1a:5b:16:06:b8:31,1677679214.079046,63,5180
96:29:37:20:25:97,1677679214.991746,66,5500
96:29:37:20:25:97,1677679215.0120857,63,5500
d2:d2:85:96:3e:c9,1677679216.633119,81,2412
92:6f:03:ba:62:09,1677679223.9134886,63,5500
5a:d8:e4:f1:29:67,1677679224.0650342,66,5540
38:00:25:a3:ba:15,1677679227.4611714,81,2412
ba:94:e7:c1:3f:1f,1677679228.860182,72,2412
c2:85:d0:ce:f1:90,1677679241.0745518,36,5240
f6:2f:95:eb:88:8b,1677679241.4296591,63,5300
36:48:ba:c9:75:9a,1677679249.0779362,77,2457
00:d0:2d:e3:92:c3,1677679249.1161854,100,2457
7e:96:f7:cd:64:cb,1677679249.2108715,68,2462
fa:b1:0c:d6:67:2a,1677679249.2559018,59,2467
3a:25:19:b4:ad:75,1677679249.4599645,100,2472
3a:25:19:b4:ad:75,1677679249.4599917,100,2472
3a:25:19:b4:ad:75,1677679249.4613767,100,2472
3a:25:19:b4:ad:75,1677679249.4613986,100,2472
3a:25:19:b4:ad:75,1677679249.4628766,100,2472
3a:25:19:b4:ad:75,1677679249.4628994,100,2472
3a:25:19:b4:ad:75,1677679249.4643548,100,2472
3a:25:19:b4:ad:75,1677679249.4643776,100,2472
3a:25:19:b4:ad:75,1677679249.4657896,100,2472
02:00:00:00:00:00,1677679253.9665697,86,2412
0e:59:17:70:4c:fb,1677679256.0622418,95,2412
96:7b:91:ba:54:48,1677679266.4825492,95,2447
96:7b:91:ba:54:48,1677679266.502593,90,2447
2a:3a:2c:e9:76:1b,1677679271.020494,72,2412
2a:3a:2c:e9:76:1b,1677679271.076884,77,2412
00:d0:2d:e3:92:c3,1677679274.666516,86,2417
92:b7:7f:5a:ec:73,1677679280.2144482,72,2412
92:b7:7f:5a:ec:73,1677679280.239962,77,2412
7e:c3:f5:d2:f4:b2,1677679280.4668865,95,2412
ba:3d:c2:f6:98:fd,1677679283.0572755,86,2412
ba:3d:c2:f6:98:fd,1677679283.0807076,90,2412
00:0e:8e:5e:70:04,1677679288.7124133,33,2412
