MAC,Timestamp,Signal Quality,Channel Frequency
72:1e:46:0b:a5:8b,1677595683.3733418,30,5620
72:1e:46:0b:a5:8b,1677595683.393917,36,5620
92:af:d8:db:11:64,1677595684.1735733,100,2462
92:af:d8:db:11:64,1677595685.5430636,100,2462
92:af:d8:db:11:64,1677595685.5967526,100,2462
b6:21:11:77:07:68,1677595686.4951303,81,2462
20:1f:3b:1f:ec:ba,1677595687.4242895,90,2462
20:1f:3b:1f:ec:ba,1677595687.4252503,90,2462
fa:d5:8e:76:ad:9a,1677595693.2894132,81,2462
00:d0:2d:e3:92:c3,1677595693.3886783,81,2462
da:66:f2:01:bc:6b,1677595693.8309927,77,2462
b6:38:94:47:dc:3c,1677595702.1630614,86,2462
8c:45:00:9a:ff:5c,1677595702.817356,90,2462
96:0f:a7:85:e3:38,1677595705.1483636,100,2462
96:0f:a7:85:e3:38,1677595705.2040637,100,2462
8a:d4:69:93:b4:10,1677595705.3767385,100,2462
82:25:cf:70:95:f6,1677595705.6039317,100,2462
62:bc:1c:4f:9e:18,1677595707.018505,100,2422
62:bc:1c:4f:9e:18,1677595707.038707,100,2422
62:bc:1c:4f:9e:18,1677595707.083877,100,2422
62:bc:1c:4f:9e:18,1677595707.1087387,95,2422
4e:c3:ac:9b:15:02,1677595713.5700355,77,2462
a8:db:03:29:52:e7,1677595720.4102283,95,2462
38:00:25:a3:ba:15,1677595723.2778292,63,2462
38:00:25:a3:ba:15,1677595723.7388241,63,2462
e6:82:5c:3f:90:31,1677595724.102374,77,2462
aa:e9:2b:97:72:80,1677595727.6824389,36,5580
aa:e9:2b:97:72:80,1677595727.6824698,30,5580
aa:e9:2b:97:72:80,1677595727.6824927,21,5580
de:e9:3e:f7:5c:d2,1677595730.5158024,63,2462
a8:db:03:29:52:e7,1677595730.8545268,81,2462
12:25:28:7f:e4:70,1677595731.9207249,68,2462
b8:94:e7:5a:f4:28,1677595734.7256618,72,2462
b8:94:e7:5a:f4:28,1677595734.725685,77,2462
a8:db:03:29:52:e7,1677595735.0393062,24,5180
a8:db:03:29:52:e7,1677595735.0796325,36,5180
a8:db:03:29:52:e7,1677595735.173868,39,5200
82:13:3e:f0:35:7c,1677595737.3156168,68,2462
e6:7a:f2:87:f1:b1,1677595741.631696,68,2462
ee:dd:cf:f2:4f:85,1677595745.7565155,18,5640
a8:db:03:29:52:e7,1677595746.9589462,100,2462
a8:db:03:29:52:e7,1677595747.2276847,100,2462
a8:db:03:29:52:e7,1677595747.2470808,100,2462
52:8f:00:b4:72:f2,1677595748.6335979,72,2462
52:8f:00:b4:72:f2,1677595748.7148292,72,2462
bc:a5:8b:bc:26:50,1677595749.4582903,81,2462
bc:a5:8b:bc:26:50,1677595749.483701,72,2462
d2:75:4b:a9:ff:4c,1677595755.3934295,72,2462
d2:75:4b:a9:ff:4c,1677595755.3934605,77,2462
a8:db:03:29:52:e7,1677595755.9133387,77,2462
1e:ce:cd:41:b8:40,1677595756.4564476,59,2462
1e:ce:cd:41:b8:40,1677595756.5261493,59,2462
3e:42:60:5f:4e:95,1677595759.1272106,81,2462
00:d0:2d:e3:92:c3,1677595759.532955,77,2462
a8:db:03:29:52:e7,1677595759.6405025,81,2462
a8:db:03:29:52:e7,1677595763.953978,59,2462
20:1f:3b:1f:ec:ba,1677595764.9107196,100,2462
a6:ca:a5:7b:13:cf,1677595765.3478494,72,2462
a8:db:03:29:52:e7,1677595765.9979095,68,2462
a8:db:03:29:52:e7,1677595768.8142543,86,2462
fa:21:2f:08:4d:ed,1677595769.1506252,81,2417
fa:21:2f:08:4d:ed,1677595769.6097322,72,2437
fa:21:2f:08:4d:ed,1677595770.4765239,68,2472
8e:c5:9b:b9:85:9a,1677595775.7144337,54,2462
8e:c5:9b:b9:85:9a,1677595775.820757,54,2462
00:d0:2d:e3:92:c3,1677595777.3296003,81,2462
00:d0:2d:e3:92:c3,1677595777.351735,86,2462
22:67:fc:fd:0a:5c,1677595778.9202337,100,2457
a6:73:c5:ef:b7:41,1677595779.9059238,21,5260
a6:73:c5:ef:b7:41,1677595779.905961,15,5260
a6:73:c5:ef:b7:41,1677595779.9071789,9,5260
00:d0:2d:e3:92:c3,1677595785.3896236,81,2462
a8:db:03:29:52:e7,1677595792.9164097,59,2462
a8:db:03:29:52:e7,1677595792.9164488,59,2462
a8:db:03:29:52:e7,1677595792.9164789,59,2462
a8:db:03:29:52:e7,1677595792.9414542,100,2462
a8:db:03:29:52:e7,1677595792.9414804,54,2462
00:d0:2d:e3:92:c3,1677595793.4695933,86,2462
0a:99:0b:53:e9:3e,1677595793.7067873,100,2462
0a:99:0b:53:e9:3e,1677595793.7520525,100,2462
0a:99:0b:53:e9:3e,1677595793.7690697,100,2462
00:d0:2d:e3:92:c3,1677595801.5095103,77,2462
00:d0:2d:e3:92:c3,1677595801.528698,86,2462
fa:9c:89:f8:39:f2,1677595802.5884128,77,2462
66:19:19:0f:de:82,1677595804.5433989,77,2412
66:19:19:0f:de:82,1677595804.5634546,77,2412
ba:d0:70:fd:5c:65,1677595809.100073,72,2462
ba:d0:70:fd:5c:65,1677595809.100103,72,2462
a8:db:03:29:52:e7,1677595811.3018441,54,2462
b2:35:fe:9b:59:18,1677595818.7431116,95,2462
06:25:3b:5c:5e:61,1677595818.81894,77,2462
a8:db:03:29:52:e7,1677595818.9570906,100,2462
06:25:3b:5c:5e:61,1677595819.0398576,81,2462
76:c1:0e:e3:d1:98,1677595819.0596013,77,2462
20:1f:3b:29:a2:55,1677595822.8022208,95,2432
2a:a2:c6:e6:d5:2b,1677595826.3007028,81,2462
e2:52:19:0e:9b:11,1677595830.0827398,63,2462
a8:db:03:29:52:e7,1677595830.3386781,100,2462
a8:db:03:29:52:e7,1677595830.3646834,100,2462
00:d0:2d:e3:92:c3,1677595835.4473536,77,2462
9e:c3:49:bb:fc:e2,1677595835.489123,68,2462
22:88:90:4a:ca:64,1677595845.044404,100,2462
22:81:7b:a3:a5:58,1677595850.4729357,54,2472
76:8b:30:39:35:a6,1677595866.4892642,81,2462
76:8b:30:39:35:a6,1677595866.4892945,100,2462
a2:0e:bd:c2:09:60,1677595868.386527,15,5200
ca:44:25:15:bb:bc,1677595869.2618637,24,5500
5a:4a:61:ea:34:40,1677595871.967503,72,2462
5a:4a:61:ea:34:40,1677595871.9873168,72,2462
5a:4a:61:ea:34:40,1677595872.0375896,68,2462
12:f5:bf:9e:ff:70,1677595874.8786006,81,2462
00:d0:2d:e3:92:c3,1677595885.4386356,100,2452
da:2d:31:ed:66:0e,1677595888.8190176,77,2462
da:2d:31:ed:66:0e,1677595888.877007,72,2462
0e:66:61:2f:80:57,1677595899.1407895,95,2462
7a:f3:ed:61:52:08,1677595900.8975809,81,2462
00:d0:2d:e3:92:c3,1677595903.2158687,100,2452
00:d0:2d:e3:92:c3,1677595903.2574952,90,2452
ca:a1:a5:c2:30:2b,1677595909.9553404,77,2462
ca:a1:a5:c2:30:2b,1677595909.9859123,68,2462
52:e5:93:1f:cb:c0,1677595915.381605,81,2462
00:d0:2d:e3:92:c3,1677595919.4553912,81,2462
00:d0:2d:e3:92:c3,1677595919.4754808,81,2462
72:b2:4b:d3:fb:cf,1677595924.279666,59,2462
da:04:70:fd:6b:54,1677595924.8466208,77,2462
52:95:40:f4:4d:26,1677595925.577216,63,2462
52:95:40:f4:4d:26,1677595925.5991247,63,2462
2a:6d:8d:07:8d:09,1677595926.5756614,63,2462
da:6e:6e:68:16:9d,1677595926.7048965,68,2462
00:d0:2d:e3:92:c3,1677595927.5132856,81,2462
92:a6:1f:ad:69:31,1677595927.9051924,72,2462
4a:cd:14:fc:a8:94,1677595930.4512928,77,2472
5c:93:a2:e4:19:d1,1677595935.1852167,72,2462
5c:93:a2:e4:19:d1,1677595935.2166495,72,2462
00:d0:2d:e3:92:c3,1677595945.3395169,81,2462
02:df:d5:ef:0e:22,1677595946.9688556,86,2422
00:d0:2d:e3:92:c3,1677595953.3792324,86,2462
00:d0:2d:e3:92:c3,1677595953.402307,95,2462
96:1e:bb:47:55:48,1677595955.231408,68,2462
02:c1:ac:e2:d7:05,1677595955.3339438,68,2462
8a:42:7d:48:a1:3a,1677595956.9718373,86,2467
92:fc:55:52:69:02,1677595956.973313,86,2467
1a:82:ea:2b:2e:01,1677595956.9749992,90,2467
8e:be:3d:b2:98:4d,1677595960.6297023,59,2462
00:d0:2d:e3:92:c3,1677595961.4596074,77,2462
aa:ac:c7:5b:7d:b3,1677595962.3783767,63,2462
aa:ac:c7:5b:7d:b3,1677595962.4395108,63,2462
4a:ff:6c:c3:64:25,1677595962.7134798,59,2462
4a:ff:6c:c3:64:25,1677595962.7909207,68,2462
06:c9:46:39:ca:2f,1677595962.9723637,72,2462
